

RELATIVE TOLERANCE = 7.3152e-08

 ITERATION NO.        RELATIVE RESIDUAL
***************      *******************
       1                 5.4101e+01
       2                 4.6700e+01
       3                 4.3386e+01
       4                 3.8890e+01
       5                 3.6313e+01
       6                 3.1545e+01
       7                 2.8725e+01
       8                 2.4474e+01
       9                 2.3785e+01
      10                 1.8622e+01
      11                 1.6151e+01
      12                 1.5705e+01
      13                 1.4700e+01
      14                 1.3389e+01
      15                 1.2923e+01
      16                 1.1870e+01
      17                 1.1470e+01
      18                 1.0287e+01
      19                 7.8908e+00
      20                 7.2053e+00
      21                 5.6729e+00
      22                 4.5929e+00
      23                 3.6213e+00
      24                 2.3304e+00
      25                 1.2183e+00
      26                 8.6124e-01
      27                 5.1946e-01
      28                 3.5289e-01
      29                 3.1432e-01
      30                 2.3034e-01
      31                 1.4763e-01
      32                 1.0798e-01
      33                 9.4144e-02
      34                 8.5179e-02
      35                 6.9647e-02
      36                 6.5915e-02
      37                 5.8879e-02
      38                 5.6330e-02
      39                 4.9983e-02
      40                 4.6090e-02
      41                 3.7127e-02
      42                 3.1942e-02
      43                 2.6668e-02
      44                 2.2665e-02
      45                 2.1693e-02
      46                 1.9865e-02
      47                 1.9104e-02
      48                 1.7556e-02
      49                 1.6473e-02
      50                 1.5663e-02
      51                 1.2611e-02
      52                 1.0286e-02
      53                 6.7203e-03
      54                 5.1937e-03
      55                 2.7097e-03
      56                 2.1337e-03
      57                 1.4783e-03
      58                 9.1942e-04
      59                 5.6943e-04
      60                 3.9720e-04
      61                 3.1679e-04
      62                 2.6141e-04
      63                 2.3897e-04
      64                 2.1822e-04
      65                 2.0174e-04
      66                 1.6559e-04
      67                 1.3653e-04
      68                 1.1168e-04
      69                 8.6630e-05
      70                 7.3708e-05
      71                 6.5162e-05
      72                 6.1345e-05
      73                 5.4614e-05
      74                 5.1749e-05
      75                 4.7699e-05
      76                 4.4196e-05
      77                 4.0141e-05
      78                 3.1895e-05
      79                 2.4414e-05
      80                 1.6068e-05
      81                 9.8448e-06
      82                 7.4237e-06
      83                 3.8239e-06
      84                 2.3882e-06
      85                 1.3623e-06
      86                 8.6059e-07
      87                 6.2270e-07
      88                 4.1846e-07
      89                 3.6774e-07
      90                 3.2122e-07
      91                 2.9976e-07
      92                 2.6662e-07
      93                 2.4773e-07
      94                 2.0766e-07
      95                 1.6848e-07
      96                 1.3035e-07
      97                 1.0696e-07
      98                 9.5850e-08
      99                 8.4473e-08
     100                 7.8966e-08
     101                 7.2332e-08


***PROBLEM CONVERGES IN 101 ITERATIONS***

