x	y	z	Ux	Uy	Uz
0.000000e+00	-9.500000e-06	0.000000e+00	4.723660e-04	6.190472e-13	1.009128e-12
0.000000e+00	-8.750000e-06	0.000000e+00	1.144421e-03	-2.708958e-13	-5.833469e-13
0.000000e+00	-7.500000e-06	0.000000e+00	2.088750e-03	-3.653962e-13	-6.656767e-13
0.000000e+00	-6.250000e-06	0.000000e+00	2.845464e-03	-2.997457e-13	-5.780745e-13
0.000000e+00	-5.000000e-06	0.000000e+00	3.435043e-03	-2.237263e-13	-2.094609e-13
0.000000e+00	-3.750000e-06	0.000000e+00	3.875013e-03	-1.510540e-13	2.298905e-13
0.000000e+00	-2.500000e-06	0.000000e+00	4.179258e-03	-9.225338e-14	5.788203e-13
0.000000e+00	-1.250000e-06	0.000000e+00	4.357787e-03	-4.682725e-14	7.842002e-13
0.000000e+00	0.000000e+00	0.000000e+00	4.416626e-03	-9.122693e-15	8.500670e-13
0.000000e+00	1.250000e-06	0.000000e+00	4.357787e-03	2.840348e-14	7.842086e-13
0.000000e+00	2.500000e-06	0.000000e+00	4.179258e-03	7.341185e-14	5.788478e-13
0.000000e+00	3.750000e-06	0.000000e+00	3.875013e-03	1.319712e-13	2.299250e-13
0.000000e+00	5.000000e-06	0.000000e+00	3.435043e-03	2.050814e-13	-2.093992e-13
0.000000e+00	6.250000e-06	0.000000e+00	2.845464e-03	2.825632e-13	-5.780021e-13
0.000000e+00	7.500000e-06	0.000000e+00	2.088750e-03	3.508329e-13	-6.655964e-13
0.000000e+00	8.750000e-06	0.000000e+00	1.144421e-03	2.599003e-13	-5.832697e-13
0.000000e+00	9.500000e-06	0.000000e+00	4.723660e-04	-6.275767e-13	1.009182e-12
