x	y	z	P
0.000000e+00	-9.500000e-06	0.000000e+00	-6.675101e-04
0.000000e+00	-8.750000e-06	0.000000e+00	-7.714766e-04
0.000000e+00	-7.500000e-06	0.000000e+00	-8.047690e-04
0.000000e+00	-6.250000e-06	0.000000e+00	-6.553238e-04
0.000000e+00	-5.000000e-06	0.000000e+00	-1.734446e-04
0.000000e+00	-3.750000e-06	0.000000e+00	1.216179e-03
0.000000e+00	-2.500000e-06	0.000000e+00	4.837527e-03
0.000000e+00	-1.250000e-06	0.000000e+00	1.260448e+00
0.000000e+00	0.000000e+00	0.000000e+00	1.319581e+00
0.000000e+00	1.250000e-06	0.000000e+00	1.316916e+00
0.000000e+00	2.500000e-06	0.000000e+00	8.798978e-03
0.000000e+00	3.750000e-06	0.000000e+00	-9.942902e-04
0.000000e+00	5.000000e-06	0.000000e+00	-1.311222e-03
0.000000e+00	6.250000e-06	0.000000e+00	-1.394831e-03
0.000000e+00	7.500000e-06	0.000000e+00	-1.419673e-03
0.000000e+00	8.750000e-06	0.000000e+00	-1.406928e-03
0.000000e+00	9.500000e-06	0.000000e+00	-1.371859e-03
