x	y	z	Ux	Uy	Uz
0.000000e+00	-9.500000e-06	0.000000e+00	6.260168e-04	-2.017942e-08	-1.639485e-09
0.000000e+00	-8.750000e-06	0.000000e+00	1.470693e-03	-8.723900e-08	-4.718192e-09
0.000000e+00	-7.500000e-06	0.000000e+00	2.546829e-03	-2.865348e-07	-1.036893e-08
0.000000e+00	-6.250000e-06	0.000000e+00	3.252450e-03	-5.984143e-07	-1.683464e-08
0.000000e+00	-5.000000e-06	0.000000e+00	3.560778e-03	-1.078543e-06	-2.645345e-08
0.000000e+00	-3.750000e-06	0.000000e+00	3.307438e-03	-1.838487e-06	-5.264675e-08
0.000000e+00	-2.500000e-06	0.000000e+00	1.762459e-03	-2.487371e-06	-8.075989e-07
0.000000e+00	-1.250000e-06	0.000000e+00	3.761032e-05	-8.302467e-06	4.255520e-08
0.000000e+00	0.000000e+00	0.000000e+00	1.743830e-04	-2.150623e-06	3.922017e-07
0.000000e+00	1.250000e-06	0.000000e+00	3.814387e-05	1.916983e-06	7.256485e-07
0.000000e+00	2.500000e-06	0.000000e+00	1.761539e-03	2.005606e-06	2.334996e-07
0.000000e+00	3.750000e-06	0.000000e+00	3.306812e-03	5.367671e-07	2.518700e-08
0.000000e+00	5.000000e-06	0.000000e+00	3.560448e-03	2.917266e-07	-1.203202e-09
0.000000e+00	6.250000e-06	0.000000e+00	3.252271e-03	1.681711e-07	-1.278787e-08
0.000000e+00	7.500000e-06	0.000000e+00	2.546740e-03	8.462934e-08	-1.611241e-08
0.000000e+00	8.750000e-06	0.000000e+00	1.470661e-03	3.019324e-08	-1.232891e-08
0.000000e+00	9.500000e-06	0.000000e+00	6.260074e-04	1.200491e-08	-6.043700e-09
