

RELATIVE TOLERANCE = 6.8190e-08

 ITERATION NO.        RELATIVE RESIDUAL
***************      *******************
       1                 3.2579e+00
       2                 9.3415e-01
       3                 4.9976e-01
       4                 3.9902e-01
       5                 2.8762e-01
       6                 2.0092e-01
       7                 1.6020e-01
       8                 1.6020e-01
       9                 1.4792e-01
      10                 1.0300e-01
      11                 7.4508e-02
      12                 5.9774e-02
      13                 4.9444e-02
      14                 4.8424e-02
      15                 4.5194e-02
      16                 3.6407e-02
      17                 3.4406e-02
      18                 3.4293e-02
      19                 2.9931e-02
      20                 2.5282e-02
      21                 2.1539e-02
      22                 2.1297e-02
      23                 2.0850e-02
      24                 1.8569e-02
      25                 1.7921e-02
      26                 1.7510e-02
      27                 1.5283e-02
      28                 1.4536e-02
      29                 1.4527e-02
      30                 1.2856e-02
      31                 1.0224e-02
      32                 1.0017e-02
      33                 9.5281e-03
      34                 8.8761e-03
      35                 8.5528e-03
      36                 8.5217e-03
      37                 8.4398e-03
      38                 8.2720e-03
      39                 8.1854e-03
      40                 8.1829e-03
      41                 8.1174e-03
      42                 8.0851e-03
      43                 8.0851e-03
      44                 7.9859e-03
      45                 7.5034e-03
      46                 7.3025e-03
      47                 7.2989e-03
      48                 7.2256e-03
      49                 7.0366e-03
      50                 6.8061e-03
      51                 6.8060e-03
      52                 6.4769e-03
      53                 6.3696e-03
      54                 6.2432e-03
      55                 5.4321e-03
      56                 4.1361e-03
      57                 3.6905e-03
      58                 3.6818e-03
      59                 2.9390e-03
      60                 2.0494e-03
      61                 1.4693e-03
      62                 1.2642e-03
      63                 1.2553e-03
      64                 1.1971e-03
      65                 9.0407e-04
      66                 6.4169e-04
      67                 5.5136e-04
      68                 5.4938e-04
      69                 4.5458e-04
      70                 3.1536e-04
      71                 2.5298e-04
      72                 2.3996e-04
      73                 2.3456e-04
      74                 1.8836e-04
      75                 1.3211e-04
      76                 8.8383e-05
      77                 5.9299e-05
      78                 4.5416e-05
      79                 4.1656e-05
      80                 4.1621e-05
      81                 3.6491e-05
      82                 2.5646e-05
      83                 1.6093e-05
      84                 1.0229e-05
      85                 5.9717e-06
      86                 3.4842e-06
      87                 2.0584e-06
      88                 1.1417e-06
      89                 7.0701e-07
      90                 5.2785e-07
      91                 5.0050e-07
      92                 4.9148e-07
      93                 4.0065e-07
      94                 2.5412e-07
      95                 1.4181e-07
      96                 8.0385e-08
      97                 4.4501e-08


***PROBLEM CONVERGES IN 97 ITERATIONS***



RELATIVE TOLERANCE = 6.0529e-08

 ITERATION NO.        RELATIVE RESIDUAL
***************      *******************
       1                 2.8919e+00
       2                 8.2920e-01
       3                 4.4362e-01
       4                 3.5419e-01
       5                 2.5530e-01
       6                 1.7835e-01
       7                 1.4220e-01
       8                 1.4220e-01
       9                 1.3130e-01
      10                 9.1430e-02
      11                 6.6137e-02
      12                 5.3058e-02
      13                 4.3889e-02
      14                 4.2983e-02
      15                 4.0116e-02
      16                 3.2317e-02
      17                 3.0541e-02
      18                 3.0441e-02
      19                 2.6568e-02
      20                 2.2441e-02
      21                 1.9119e-02
      22                 1.8904e-02
      23                 1.8507e-02
      24                 1.6483e-02
      25                 1.5908e-02
      26                 1.5543e-02
      27                 1.3566e-02
      28                 1.2903e-02
      29                 1.2895e-02
      30                 1.1412e-02
      31                 9.0758e-03
      32                 8.8917e-03
      33                 8.4577e-03
      34                 7.8789e-03
      35                 7.5919e-03
      36                 7.5643e-03
      37                 7.4916e-03
      38                 7.3427e-03
      39                 7.2658e-03
      40                 7.2636e-03
      41                 7.2054e-03
      42                 7.1768e-03
      43                 7.1767e-03
      44                 7.0887e-03
      45                 6.6604e-03
      46                 6.4821e-03
      47                 6.4789e-03
      48                 6.4139e-03
      49                 6.2461e-03
      50                 6.0415e-03
      51                 6.0414e-03
      52                 5.7492e-03
      53                 5.6540e-03
      54                 5.5418e-03
      55                 4.8218e-03
      56                 3.6714e-03
      57                 3.2759e-03
      58                 3.2682e-03
      59                 2.6089e-03
      60                 1.8192e-03
      61                 1.3043e-03
      62                 1.1222e-03
      63                 1.1143e-03
      64                 1.0626e-03
      65                 8.0250e-04
      66                 5.6959e-04
      67                 4.8941e-04
      68                 4.8765e-04
      69                 4.0351e-04
      70                 2.7993e-04
      71                 2.2456e-04
      72                 2.1300e-04
      73                 2.0821e-04
      74                 1.6720e-04
      75                 1.1727e-04
