#it	time	Xp[0]	Xp[1]	Xp[2]	Vp[0]	Vp[1]	Vp[2]	Wp[0]	Wp[1]	Wp[2]	Fx	Fy	Fz	Tx	Ty	Tz
0:	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1:	2.500000e-06	2.500000e-09	0.000000e+00	0.000000e+00	8.876536e-04	1.725154e-09	-6.582699e-10	0.000000e+00	0.000000e+00	0.000000e+00	-1.887419e-10	2.898258e-15	-1.105893e-15	3.123464e-20	-4.623158e-20	-1.769097e-20
2:	5.000000e-06	4.719134e-09	4.312885e-15	-1.645675e-15	7.879290e-04	3.062747e-09	-1.168629e-09	4.648013e-04	-6.879699e-04	-2.632584e-04	-1.675374e-10	2.247156e-15	-8.574035e-16	2.772551e-20	-4.103801e-20	-1.570571e-20
3:	7.500000e-06	6.688956e-09	1.196975e-14	-4.567247e-15	6.994080e-04	4.077821e-09	-1.555909e-09	8.773833e-04	-1.298655e-03	-4.969743e-04	-1.487152e-10	1.705324e-15	-6.506302e-16	3.632035e-20	-5.377128e-20	-2.057604e-20
4:	1.000000e-05	8.437476e-09	2.216430e-14	-8.457020e-15	6.208320e-04	4.825954e-09	-1.841323e-09	1.417865e-03	-2.098822e-03	-8.031653e-04	-1.320076e-10	1.256864e-15	-4.794958e-16	4.394959e-20	-6.507412e-20	-2.489982e-20
5:	1.250000e-05	9.989557e-09	3.422919e-14	-1.306033e-14	5.510838e-04	5.354211e-09	-2.042837e-09	2.071876e-03	-3.067187e-03	-1.173698e-03	-1.171770e-10	8.874718e-16	-3.385425e-16	5.511162e-20	-8.161346e-20	-3.122521e-20
6:	1.500000e-05	1.136727e-08	4.761472e-14	-1.816742e-14	4.891715e-04	5.702451e-09	-2.175663e-09	2.891990e-03	-4.281673e-03	-1.638359e-03	-1.040126e-10	5.850441e-16	-2.231489e-16	6.940955e-20	-1.028010e-19	-3.932758e-20
7:	1.750000e-05	1.259019e-08	6.187084e-14	-2.360658e-14	4.342149e-04	5.904318e-09	-2.252644e-09	3.924870e-03	-5.811451e-03	-2.223591e-03	-9.232717e-11	3.391367e-16	-1.293284e-16	8.813684e-20	-1.305555e-19	-4.993990e-20
8:	2.000000e-05	1.367573e-08	7.663164e-14	-2.923819e-14	3.854324e-04	5.988132e-09	-2.284589e-09	5.236430e-03	-7.754240e-03	-2.966744e-03	-8.195455e-11	1.408068e-16	-5.366767e-17	1.124416e-19	-1.665798e-19	-6.371287e-20
9:	2.250000e-05	1.463931e-08	9.160197e-14	-3.494966e-14	3.421305e-04	5.977647e-09	-2.280565e-09	6.909669e-03	-1.023311e-02	-3.914852e-03	-7.274725e-11	-1.761503e-17	6.760274e-18	1.439600e-19	-2.133013e-19	-8.157374e-20
10:	2.500000e-05	1.549464e-08	1.065461e-13	-4.065107e-14	3.036934e-04	5.892707e-09	-2.248147e-09	9.051931e-03	-1.340723e-02	-5.128747e-03	-6.457436e-11	-1.426987e-16	5.446247e-17	1.847614e-19	-2.737905e-19	-1.046953e-19
